,PFE,,TSLA,,ENB,,SHOP,,SPY
5/2/2016,31.07,5/2/2016,48.36,5/2/2016,41.33,5/2/2016,31.41,5/2/2016,207.97
5/3/2016,31.93,5/3/2016,46.46,5/3/2016,40.42,5/3/2016,30.74,5/3/2016,206.16
5/4/2016,31.64,5/4/2016,44.51,5/4/2016,39.57,5/4/2016,29.61,5/4/2016,205.01
5/5/2016,31.8,5/5/2016,42.31,5/5/2016,39.1,5/5/2016,28.52,5/5/2016,204.97
5/6/2016,31.81,5/6/2016,42.99,5/6/2016,39.29,5/6/2016,27.72,5/6/2016,205.72
5/9/2016,32.04,5/9/2016,41.78,5/9/2016,38.52,5/9/2016,26.46,5/9/2016,205.89
5/10/2016,32.02,5/10/2016,41.74,5/10/2016,40,5/10/2016,26.63,5/10/2016,208.45
5/11/2016,31.41,5/11/2016,41.79,5/11/2016,39.81,5/11/2016,26.27,5/11/2016,206.5
5/12/2016,31.44,5/12/2016,41.46,5/12/2016,40.24,5/12/2016,26.95,5/12/2016,206.56
5/13/2016,31.44,5/13/2016,41.52,5/13/2016,39.96,5/13/2016,26.29,5/13/2016,204.76
5/16/2016,31.62,5/16/2016,41.66,5/16/2016,40.48,5/16/2016,26.16,5/16/2016,206.78
5/17/2016,31.29,5/17/2016,40.93,5/17/2016,40.88,5/17/2016,26.8,5/17/2016,204.85
5/18/2016,31.42,5/18/2016,42.23,5/18/2016,40.21,5/18/2016,26.34,5/18/2016,204.91
5/19/2016,31.62,5/19/2016,43.04,5/19/2016,39.74,5/19/2016,25.97,5/19/2016,204.2
5/20/2016,31.96,5/20/2016,44.06,5/20/2016,40.29,5/20/2016,26.1,5/20/2016,205.49
5/23/2016,31.9,5/23/2016,43.24,5/23/2016,39.87,5/23/2016,26.82,5/23/2016,205.21
5/24/2016,32.3,5/24/2016,43.58,5/24/2016,40.29,5/24/2016,27.06,5/24/2016,207.87
5/25/2016,32.54,5/25/2016,43.92,5/25/2016,40.91,5/25/2016,28.2,5/25/2016,209.28
5/26/2016,32.62,5/26/2016,45.02,5/26/2016,40.63,5/26/2016,27.76,5/26/2016,209.34
5/27/2016,32.79,5/27/2016,44.61,5/27/2016,40.46,5/27/2016,28.57,5/27/2016,210.24
5/31/2016,32.87,5/31/2016,44.65,5/31/2016,39.89,5/31/2016,29.29,5/31/2016,209.84
6/1/2016,32.92,6/1/2016,43.91,6/1/2016,40.15,6/1/2016,31.07,6/1/2016,210.27
6/2/2016,33.03,6/2/2016,43.79,6/2/2016,40.44,6/2/2016,29.84,6/2/2016,210.91
6/3/2016,32.86,6/3/2016,43.8,6/3/2016,41.05,6/3/2016,29.58,6/3/2016,210.28
6/6/2016,33.09,6/6/2016,44.14,6/6/2016,41.95,6/6/2016,30,6/6/2016,211.35
6/7/2016,33.01,6/7/2016,46.47,6/7/2016,42.7,6/7/2016,29.86,6/7/2016,211.68
